Time,Tair_mean,Tfuel_mean,rhoAir_mean,rhoFuel_mean,nuAir_mean,nuFuel_mean,kAir_mean,kFuel_mean,Nern_max,ibar,Energy_t_mean,mean_curr,V
107,1090.865,1093.046,0.3208226,0.03610936,0.000142032,0.000834121,0.07531718,0.3184771,1.061136,5001.77,1092.492,5214.584,0.8789345
108,1090.87,1093.051,0.3208211,0.03610975,0.000142033,0.000834121,0.07531743,0.3184751,1.061133,5001.964,1092.495,5214.832,0.8789542
109,1090.873,1093.054,0.32082,0.03611004,0.000142034,0.000834121,0.07531761,0.3184736,1.061131,5002.06,1092.496,5214.986,0.8789748
110,1090.875,1093.056,0.3208195,0.03611024,0.000142034,0.00083412,0.07531769,0.3184724,1.06113,5002.067,1092.497,5215.052,0.8789954
111,1090.875,1093.056,0.3208193,0.03611033,0.000142034,0.000834119,0.0753177,0.3184718,1.061129,5001.994,1092.495,5215.037,0.8790154
112,1090.873,1093.054,0.3208198,0.03611035,0.000142034,0.000834117,0.07531761,0.3184716,1.06113,5001.853,1092.492,5214.952,0.8790339
113,1090.871,1093.052,0.3208206,0.03611028,0.000142033,0.000834115,0.07531747,0.3184718,1.06113,5001.657,1092.489,5214.807,0.8790505
114,1090.867,1093.048,0.3208217,0.03611015,0.000142032,0.000834113,0.07531727,0.3184723,1.061132,5001.421,1092.484,5214.615,0.8790647
115,1090.863,1093.043,0.3208231,0.03610995,0.000142032,0.000834111,0.07531704,0.3184731,1.061133,5001.156,1092.479,5214.387,0.8790763
116,1090.858,1093.038,0.3208247,0.03610971,0.00014203,0.000834108,0.07531676,0.3184741,1.061136,5000.877,1092.474,5214.139,0.879085
117,1090.853,1093.033,0.3208262,0.03610944,0.000142029,0.000834106,0.07531649,0.3184754,1.061138,5000.595,1092.468,5213.879,0.879091
118,1090.847,1093.027,0.3208279,0.03610914,0.000142028,0.000834104,0.0753162,0.3184767,1.06114,5000.322,1092.463,5213.621,0.8790942
119,1090.842,1093.022,0.3208295,0.03610884,0.000142027,0.000834102,0.07531593,0.3184781,1.061142,5000.067,1092.458,5213.372,0.8790949
120,1090.837,1093.017,0.320831,0.03610854,0.000142026,0.0008341,0.07531566,0.3184796,1.061145,4999.836,1092.453,5213.142,0.8790932
121,1090.833,1093.012,0.3208324,0.03610824,0.000142025,0.000834099,0.07531543,0.3184809,1.061147,4999.635,1092.449,5212.935,0.8790896
122,1090.829,1093.008,0.3208337,0.03610797,0.000142024,0.000834098,0.07531521,0.3184822,1.061149,4999.469,1092.446,5212.758,0.8790843
123,1090.825,1093.004,0.3208348,0.03610772,0.000142024,0.000834097,0.07531503,0.3184834,1.06115,4999.337,1092.443,5212.612,0.8790776
124,1090.822,1093.001,0.3208357,0.03610751,0.000142023,0.000834097,0.07531488,0.3184845,1.061151,4999.243,1092.441,5212.5,0.8790701
125,1090.82,1092.999,0.3208363,0.03610732,0.000142022,0.000834097,0.07531476,0.3184854,1.061152,4999.185,1092.439,5212.422,0.8790619
126,1090.819,1092.997,0.3208368,0.03610717,0.000142022,0.000834097,0.07531468,0.3184861,1.061152,4999.161,1092.438,5212.377,0.8790535
127,1090.818,1092.996,0.3208371,0.03610705,0.000142022,0.000834097,0.07531463,0.3184867,1.061152,4999.167,1092.437,5212.362,0.8790452
128,1090.817,1092.996,0.3208372,0.03610697,0.000142022,0.000834097,0.0753146,0.3184872,1.061152,4999.202,1092.438,5212.376,0.8790372
129,1090.817,1092.996,0.3208371,0.03610691,0.000142022,0.000834098,0.07531462,0.3184875,1.061152,4999.259,1092.438,5212.414,0.8790298
130,1090.818,1092.996,0.320837,0.03610689,0.000142022,0.000834099,0.07531464,0.3184876,1.061151,4999.334,1092.439,5212.471,0.8790232
131,1090.819,1092.997,0.3208367,0.03610689,0.000142022,0.0008341,0.07531469,0.3184876,1.06115,4999.423,1092.44,5212.544,0.8790174
132,1090.82,1092.998,0.3208364,0.03610691,0.000142022,0.0008341,0.07531474,0.3184875,1.06115,4999.52,1092.441,5212.628,0.8790126
133,1090.821,1092.999,0.3208359,0.03610695,0.000142023,0.000834101,0.07531482,0.3184874,1.061148,4999.62,1092.442,5212.719,0.8790088
134,1090.822,1093.001,0.3208356,0.03610699,0.000142023,0.000834102,0.07531488,0.3184871,1.061147,4999.72,1092.444,5212.812,0.879006
135,1090.824,1093.002,0.3208351,0.03610705,0.000142023,0.000834103,0.07531496,0.3184869,1.061146,4999.816,1092.445,5212.903,0.8790041
136,1090.825,1093.003,0.3208347,0.0361071,0.000142024,0.000834103,0.07531502,0.3184866,1.061145,4999.906,1092.446,5212.99,0.8790032
137,1090.826,1093.004,0.3208342,0.03610715,0.000142024,0.000834104,0.0753151,0.3184864,1.061144,4999.986,1092.447,5213.071,0.8790031
138,1090.827,1093.005,0.3208339,0.0361072,0.000142024,0.000834104,0.07531515,0.3184861,1.061143,5000.054,1092.448,5213.142,0.8790036
139,1090.828,1093.006,0.3208336,0.03610725,0.000142024,0.000834105,0.0753152,0.3184859,1.061142,5000.111,1092.449,5213.202,0.8790047
140,1090.829,1093.007,0.3208334,0.03610728,0.000142024,0.000834105,0.07531523,0.3184857,1.061142,5000.154,1092.449,5213.251,0.8790062
141,1090.83,1093.007,0.3208332,0.0361073,0.000142024,0.000834105,0.07531526,0.3184856,1.061141,5000.184,1092.449,5213.287,0.8790081
142,1090.83,1093.007,0.3208331,0.03610732,0.000142024,0.000834105,0.07531527,0.3184855,1.061141,5000.202,1092.45,5213.312,0.8790101
143,1090.83,1093.007,0.3208331,0.03610731,0.000142025,0.000834105,0.07531528,0.3184854,1.06114,5000.208,1092.449,5213.325,0.8790122
144,1090.83,1093.007,0.3208332,0.0361073,0.000142024,0.000834105,0.07531526,0.3184855,1.06114,5000.203,1092.449,5213.328,0.8790142
145,1090.829,1093.007,0.3208332,0.03610728,0.000142024,0.000834105,0.07531525,0.3184855,1.06114,5000.189,1092.448,5213.321,0.8790161
146,1090.829,1093.006,0.3208334,0.03610725,0.000142024,0.000834104,0.07531521,0.3184857,1.06114,5000.168,1092.448,5213.306,0.8790178
147,1090.828,1093.005,0.3208335,0.0361072,0.000142024,0.000834104,0.07531519,0.3184859,1.06114,5000.141,1092.447,5213.285,0.8790192
148,1090.827,1093.004,0.3208338,0.03610716,0.000142024,0.000834104,0.07531513,0.318486,1.06114,5000.109,1092.446,5213.258,0.8790203
149,1090.827,1093.003,0.320834,0.0361071,0.000142024,0.000834103,0.0753151,0.3184863,1.06114,5000.075,1092.445,5213.228,0.879021
150,1090.826,1093.002,0.3208343,0.03610704,0.000142024,0.000834103,0.07531505,0.3184866,1.06114,5000.041,1092.444,5213.197,0.8790215
151,1090.825,1093.001,0.3208345,0.03610697,0.000142023,0.000834103,0.07531501,0.3184869,1.06114,5000.007,1092.443,5213.165,0.8790215
152,1090.824,1093,0.3208348,0.03610691,0.000142023,0.000834103,0.07531495,0.3184871,1.061141,4999.974,1092.442,5213.133,0.8790213
153,1090.823,1092.999,0.3208351,0.03610684,0.000142023,0.000834102,0.07531491,0.3184874,1.061141,4999.943,1092.441,5213.103,0.8790207
154,1090.822,1092.998,0.3208353,0.03610678,0.000142023,0.000834102,0.07531486,0.3184877,1.061141,4999.917,1092.44,5213.076,0.8790199
155,1090.822,1092.998,0.3208355,0.03610672,0.000142023,0.000834102,0.07531483,0.318488,1.061141,4999.893,1092.44,5213.052,0.8790188
156,1090.821,1092.997,0.3208358,0.03610666,0.000142023,0.000834102,0.07531478,0.3184883,1.061141,4999.875,1092.439,5213.032,0.8790175
157,1090.82,1092.996,0.320836,0.0361066,0.000142022,0.000834102,0.07531476,0.3184886,1.061141,4999.861,1092.438,5213.015,0.8790161
