Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
32,1001.724,1086.537,1092.539,1028.731,1088.605,1092.538,0.3159717,0.3221932,0.3510368,0.02796302,0.03583813,0.04636153,4.34E-05,4.55E-05,4.58E-05,2.49E-05,2.95E-05,3.30E-05,0.000123495,0.000141115,0.000142433,0.000711264,0.000832806,0.000933023,0.07045331,0.07508701,0.07550241,0.2588476,0.3198254,0.3836761,3.87E-09,1.009967,1.06361,5000,4806.247,0.8718297,4201.871,5818.341,0.003975912,9.78E-11,1001.741,1088.906,1093.408,5001.275,0.8718297
33,1001.741,1087.355,1093.405,1029.011,1089.442,1093.403,0.3156531,0.3219359,0.3510309,0.02794139,0.03587469,0.04647598,4.34E-05,4.55E-05,4.58E-05,2.49E-05,2.96E-05,3.30E-05,0.000123498,0.000141289,0.000142619,0.000710756,0.00083323,0.000934342,0.07045427,0.07513086,0.07554991,0.2584187,0.3196573,0.3839111,3.87E-09,1.00917,1.063164,5000,4855.836,0.8703881,4251.093,5862.052,0.004150327,8.37E-11,1001.759,1089.773,1094.312,5046.334,0.8703881
34,1001.759,1088.207,1094.31,1029.304,1090.314,1094.308,0.3153198,0.3216677,0.3510245,0.02791888,0.03591587,0.04659679,4.34E-05,4.55E-05,4.59E-05,2.49E-05,2.96E-05,3.31E-05,0.000123502,0.00014147,0.000142812,0.000710213,0.000833634,0.000935719,0.07045533,0.07517648,0.0755995,0.2579676,0.3194649,0.3841562,3.87E-09,1.00835,1.062703,5000,4904.924,0.8694373,4298.697,5908.487,0.004117499,5.37E-11,1001.777,1090.64,1095.219,5092.206,0.8694373
35,1001.777,1089.06,1095.217,1029.597,1091.187,1095.215,0.314986,0.3213994,0.3510183,0.02789639,0.03595964,0.04672027,4.34E-05,4.55E-05,4.59E-05,2.49E-05,2.97E-05,3.32E-05,0.000123506,0.000141651,0.000143007,0.000709644,0.000834007,0.000937097,0.07045635,0.07522204,0.07564916,0.2575078,0.3192581,0.3844012,3.87E-09,1.007523,1.062242,5000,4951.806,0.8689553,4343.152,5955.73,0.003921854,8.87E-11,1001.795,1091.476,1096.094,5137.144,0.8689553
36,1001.795,1089.88,1096.091,1029.879,1092.027,1096.09,0.3146629,0.3211412,0.3510122,0.02787476,0.03600456,0.04684881,4.34E-05,4.55E-05,4.59E-05,2.49E-05,2.97E-05,3.32E-05,0.000123509,0.000141826,0.000143194,0.000708998,0.000834332,0.000938427,0.07045736,0.07526584,0.07569702,0.2570282,0.319044,0.3846372,3.87E-09,1.006728,1.061801,5000,4995.03,0.8689056,4383.183,6002.032,0.003707108,5.94E-11,1001.811,1092.252,1096.909,5179.645,0.8689056
37,1001.811,1090.644,1096.906,1030.142,1092.809,1096.904,0.3143625,0.3209011,0.3510065,0.02785468,0.0360486,0.04697345,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.97E-05,3.33E-05,0.000123512,0.000141988,0.000143369,0.000708346,0.000834608,0.000939665,0.07045828,0.07530653,0.07574158,0.2565643,0.3188327,0.3848567,3.87E-09,1.005997,1.061389,5000,5033.43,0.8692399,4417.809,6045.873,0.003396269,5.91E-11,1001.826,1092.948,1097.64,5218.442,0.8692399
38,1001.826,1091.328,1097.638,1030.377,1093.509,1097.636,0.3140916,0.3206858,0.3510013,0.02783669,0.03609006,0.04708732,4.34E-05,4.56E-05,4.60E-05,2.49E-05,2.98E-05,3.33E-05,0.000123516,0.000142133,0.000143525,0.000707741,0.00083483,0.000940777,0.07045914,0.07534293,0.07578155,0.2561419,0.3186325,0.3850535,3.87E-09,1.005346,1.06102,5000,5066.149,0.8699014,4446.364,6085.959,0.002997394,9.11E-11,1001.838,1093.548,1098.272,5252.54,0.8699014
39,1001.838,1091.916,1098.269,1030.58,1094.112,1098.267,0.3138582,0.3205005,0.3509969,0.02782122,0.0361278,0.04718918,4.34E-05,4.56E-05,4.60E-05,2.49E-05,2.98E-05,3.34E-05,0.000123518,0.000142258,0.000143661,0.000707182,0.000834996,0.000941735,0.07045985,0.07537421,0.07581601,0.2557647,0.3184489,0.3852229,3.87E-09,1.004789,1.060701,5000,5092.632,0.8708278,4468.482,6121.296,0.00254557,6.46E-11,1001.849,1094.038,1098.79,5281.225,0.8708278
40,1001.849,1092.398,1098.788,1030.747,1094.606,1098.786,0.3136655,0.3203485,0.3509933,0.02780855,0.03616086,0.04727675,4.34E-05,4.56E-05,4.60E-05,2.49E-05,2.98E-05,3.34E-05,0.00012352,0.00014236,0.000143772,0.000706684,0.000835107,0.000942521,0.07046045,0.07539977,0.0758443,0.2554403,0.3182864,0.3853618,3.87E-09,1.004341,1.06044,5000,5112.614,0.8719539,4484.069,6151.154,0.002095985,7.35E-11,1001.857,1094.415,1099.191,5304.066,0.8719539
41,1001.857,1092.769,1099.188,1030.875,1094.986,1099.186,0.3135165,0.3202315,0.3509904,0.02779881,0.03618847,0.04734711,4.34E-05,4.56E-05,4.60E-05,2.49E-05,2.99E-05,3.34E-05,0.000123522,0.000142439,0.000143858,0.00070627,0.000835165,0.000943126,0.07046091,0.07541936,0.07586609,0.2551796,0.318149,0.3854685,3.87E-09,1.004003,1.060236,5000,5126.101,0.8732149,4493.291,6175.091,0.001710807,4.82E-11,1001.863,1094.678,1099.471,5320.888,0.8732149
